Year,Month,mm
1901,01,34.7
1901,02,67.94
1901,03,110.75
1901,04,53.46
1901,05,64.25
1901,06,67.84
1901,07,66.2
1901,08,52.52
1901,09,137.83
1901,10,138.47
1901,11,67.58
1901,12,121.13
1902,01,47.86
1902,02,126.44
1902,03,63.93
1902,04,67.77
1902,05,75.53
1902,06,54.99
1902,07,30.34
1902,08,40.6
1902,09,53.53
1902,10,127.9
1902,11,86.18
1902,12,56.17
1903,01,49.25
1903,02,30.54
1903,03,49.83
1903,04,72.6
1903,05,60.81
1903,06,92.32
1903,07,54.93
1903,08,28.14
1903,09,50.4
1903,10,111.75
1903,11,101.18
1903,12,143.99
1904,01,64.69
1904,02,90.71
1904,03,101.25
1904,04,50.75
1904,05,42.25
1904,06,60.96
1904,07,26.79
1904,08,63.35
1904,09,95.13
1904,10,88
1904,11,67.73
1904,12,73.24
1905,01,52.13
1905,02,77.59
1905,03,68.72
1905,04,59.51
1905,05,117.76
1905,06,71.69
1905,07,50.98
1905,08,76.27
1905,09,76.86
1905,10,96.61
1905,11,168.15
1905,12,49.72
1906,01,60.17
1906,02,84.83
1906,03,63.37
1906,04,61.53
1906,05,65.51
1906,06,45.93
1906,07,61.46
1906,08,27.57
1906,09,53.42
1906,10,85.28
1906,11,125.74
1906,12,88.9
1907,01,58.77
1907,02,59.71
1907,03,29.46
1907,04,88.29
1907,05,50.67
1907,06,48.57
1907,07,37.83
1907,08,31.72
1907,09,74.19
1907,10,168.82
1907,11,70.86
1907,12,112.97
1908,01,39.21
1908,02,37.86
1908,03,73.97
1908,04,79.8
1908,05,36.42
1908,06,43.74
1908,07,79.64
1908,08,56.44
1908,09,42.79
1908,10,58.47
1908,11,85.26
1908,12,91.28
1909,01,47.14
1909,02,71.26
1909,03,112.38
1909,04,46.43
1909,05,51.04
1909,06,74.15
1909,07,37.16
1909,08,67.28
1909,09,86.3
1909,10,92.72
1909,11,81.99
1909,12,90.78
1910,01,80.82
1910,02,75.81
1910,03,52.4
1910,04,86.09
1910,05,70.03
1910,06,84.45
1910,07,47.62
1910,08,53.36
1910,09,94.09
1910,10,102.26
1910,11,128.68
1910,12,122.96
1911,01,56.56
1911,02,25.61
1911,03,67.66
1911,04,57.22
1911,05,96.09
1911,06,73.54
1911,07,30.74
1911,08,44.15
1911,09,95.15
1911,10,108.47
1911,11,120.52
1911,12,93.78
1912,01,82.68
1912,02,66.37
1912,03,73.54
1912,04,68.21
1912,05,64.55
1912,06,58.38
1912,07,45.06
1912,08,53.07
1912,09,73.35
1912,10,101.16
1912,11,82.36
1912,12,50.65
1913,01,57.91
1913,02,37.11
1913,03,60.38
1913,04,88.18
1913,05,58.41
1913,06,59.04
1913,07,65.15
1913,08,51.24
1913,09,80.56
1913,10,77.51
1913,11,82.94
1913,12,62.56
1914,01,61.37
1914,02,71.43
1914,03,87.12
1914,04,40.69
1914,05,101
1914,06,56.82
1914,07,59.37
1914,08,55.62
1914,09,44.98
1914,10,119.16
1914,11,87.41
1914,12,116.91
1915,01,122.54
1915,02,116.76
1915,03,68.19
1915,04,63.96
1915,05,68.44
1915,06,87.52
1915,07,59.24
1915,08,51.13
1915,09,91.9
1915,10,95.4
1915,11,107.5
1915,12,79.69
1916,01,29.68
1916,02,77.9
1916,03,121.05
1916,04,70.75
1916,05,51.46
1916,06,38.67
1916,07,40.85
1916,08,60.5
1916,09,127.01
1916,10,89.19
1916,11,155.75
1916,12,149.37
1917,01,123.09
1917,02,44.24
1917,03,90.28
1917,04,64.4
1917,05,70.29
1917,06,32.61
1917,07,50.29
1917,08,49.38
1917,09,33.76
1917,10,129.46
1917,11,91.18
1917,12,77.04
1918,01,38.56
1918,02,20.71
1918,03,64.05
1918,04,111.29
1918,05,66.13
1918,06,70.36
1918,07,35.96
1918,08,47.34
1918,09,65.71
1918,10,169.49
1918,11,60.9
1918,12,70.35
1919,01,113.82
1919,02,64.36
1919,03,62.7
1919,04,80.26
1919,05,36.97
1919,06,45.48
1919,07,52.37
1919,08,34.28
1919,09,59.67
1919,10,92.34
1919,11,130.11
1919,12,54.27
1920,01,95.26
1920,02,40.48
1920,03,77.39
1920,04,81.24
1920,05,39.75
1920,06,77.66
1920,07,45.27
1920,08,60.87
1920,09,81.54
1920,10,98.49
1920,11,91.22
1920,12,85.21
1921,01,43.54
1921,02,50.35
1921,03,51.45
1921,04,86.36
1921,05,63.42
1921,06,59.76
1921,07,31.31
1921,08,55.1
1921,09,33.86
1921,10,35.57
1921,11,56.58
1921,12,49.25
1922,01,74.7
1922,02,46.06
1922,03,81.2
1922,04,82.28
1922,05,26.39
1922,06,54.03
1922,07,34.02
1922,08,29.35
1922,09,99.1
1922,10,114.46
1922,11,56.61
1922,12,81.39
1923,01,58.36
1923,02,90.05
1923,03,40.65
1923,04,99.4
1923,05,34.01
1923,06,58.62
1923,07,21.18
1923,08,39.53
1923,09,67.7
1923,10,51.7
1923,11,141.78
1923,12,102.62
1924,01,77.31
1924,02,69.76
1924,03,74.31
1924,04,72.74
1924,05,54.09
1924,06,70.6
1924,07,61.35
1924,08,64.41
1924,09,56.32
1924,10,95.28
1924,11,39.49
1924,12,82
1925,01,22.59
1925,02,82.08
1925,03,77.89
1925,04,78.33
1925,05,67.82
1925,06,45.07
1925,07,43.53
1925,08,54.98
1925,09,65.9
1925,10,64.07
1925,11,122.2
1925,12,61.05
1926,01,65.75
1926,02,63.98
1926,03,61.45
1926,04,62.84
1926,05,94.02
1926,06,82.65
1926,07,62
1926,08,37.6
1926,09,63.06
1926,10,89.56
1926,11,155.06
1926,12,74.91
1927,01,96.56
1927,02,48.03
1927,03,88.24
1927,04,38.13
1927,05,61.68
1927,06,48.22
1927,07,28.5
1927,08,35.3
1927,09,79.49
1927,10,57.66
1927,11,109.34
1927,12,131.55
1928,01,65.94
1928,02,33.87
1928,03,126.18
1928,04,91.51
1928,05,74.92
1928,06,26.99
1928,07,17.44
1928,08,38.96
1928,09,108.04
1928,10,128.43
1928,11,119.2
1928,12,74.92
1929,01,67.47
1929,02,45.48
1929,03,32.35
1929,04,63.7
1929,05,57.13
1929,06,49.39
1929,07,22.26
1929,08,75.49
1929,09,33.42
1929,10,90.9
1929,11,120.35
1929,12,81.23
1930,01,82.73
1930,02,73.72
1930,03,66.13
1930,04,82.73
1930,05,92.87
1930,06,46.42
1930,07,63.58
1930,08,53.43
1930,09,82.04
1930,10,89.45
1930,11,55.4
1930,12,91.39
1931,01,65.75
1931,02,100.64
1931,03,66.62
1931,04,71.44
1931,05,79.71
1931,06,28.55
1931,07,34
1931,08,52.65
1931,09,58.14
1931,10,85.72
1931,11,146.3
1931,12,50.38
1932,01,35.81
1932,02,39.83
1932,03,79.1
1932,04,72.43
1932,05,82.51
1932,06,62.07
1932,07,90.92
1932,08,25.29
1932,09,55.42
1932,10,101.34
1932,11,99.05
1932,12,78.41
1933,01,78.75
1933,02,58.35
1933,03,52.41
1933,04,44.36
1933,05,76.2
1933,06,84.29
1933,07,26.97
1933,08,27.19
1933,09,87.49
1933,10,100.92
1933,11,142.2
1933,12,111.91
1934,01,49.95
1934,02,39.94
1934,03,101.47
1934,04,72.96
1934,05,59.7
1934,06,83.02
1934,07,43.17
1934,08,85.66
1934,09,62.57
1934,10,73.64
1934,11,150.63
1934,12,102.06
1935,01,60.14
1935,02,69.65
1935,03,39.53
1935,04,53.75
1935,05,69.93
1935,06,23.59
1935,07,30.92
1935,08,65.92
1935,09,39.99
1935,10,154.43
1935,11,143.77
1935,12,119.69
1936,01,89.77
1936,02,92.96
1936,03,75.96
1936,04,97.74
1936,05,84.08
1936,06,70.75
1936,07,45.78
1936,08,26.89
1936,09,85.02
1936,10,83.02
1936,11,69.3
1936,12,60.71
1937,01,66.85
1937,02,70.16
1937,03,120.83
1937,04,82.26
1937,05,52.24
1937,06,72.63
1937,07,47.75
1937,08,82.13
1937,09,142.4
1937,10,107.21
1937,11,104.09
1937,12,108.19
1938,01,52.04
1938,02,51.02
1938,03,17.96
1938,04,44.54
1938,05,92.46
1938,06,46.5
1938,07,37.22
1938,08,83.35
1938,09,79.81
1938,10,77.96
1938,11,74.92
1938,12,89.92
1939,01,84.21
1939,02,41.18
1939,03,65.79
1939,04,53.95
1939,05,120.11
1939,06,59.84
1939,07,34.73
1939,08,62.8
1939,09,118.92
1939,10,120.31
1939,11,70.26
1939,12,91.88
1940,01,75.75
1940,02,49.56
1940,03,38.58
1940,04,59.05
1940,05,98.29
1940,06,91.48
1940,07,60.17
1940,08,43.86
1940,09,54.56
1940,10,156.24
1940,11,97.11
1940,12,47.02
1941,01,90.64
1941,02,99.05
1941,03,58.14
1941,04,89.62
1941,05,92.68
1941,06,64.17
1941,07,48.84
1941,08,43.18
1941,09,49.84
1941,10,88.56
1941,11,138.3
1941,12,43.48
1942,01,70.18
1942,02,82.89
1942,03,48.8
1942,04,63.71
1942,05,47.49
1942,06,50.28
1942,07,43.27
1942,08,33.55
1942,09,76.66
1942,10,66.02
1942,11,79.17
1942,12,102.34
1943,01,62.91
1943,02,59.8
1943,03,55.16
1943,04,33.9
1943,05,69.61
1943,06,49.24
1943,07,34.49
1943,08,32.44
1943,09,82.11
1943,10,72.3
1943,11,97.45
1943,12,99.79
1944,01,31.04
1944,02,54.63
1944,03,42.18
1944,04,43.69
1944,05,41.41
1944,06,74.21
1944,07,48.65
1944,08,35.3
1944,09,77.1
1944,10,152.5
1944,11,90.16
1944,12,73.68
1945,01,78.16
1945,02,27.82
1945,03,43.7
1945,04,40.59
1945,05,47.39
1945,06,21.17
1945,07,22.47
1945,08,57.91
1945,09,45.87
1945,10,62.83
1945,11,84.34
1945,12,95.31
1946,01,67.36
1946,02,31.28
1946,03,79.2
1946,04,43.74
1946,05,73.98
1946,06,57.66
1946,07,45.7
1946,08,51.26
1946,09,28.77
1946,10,89.81
1946,11,120.2
1946,12,92.23
1947,01,54.36
1947,02,104.92
1947,03,81.75
1947,04,27.19
1947,05,54.14
1947,06,44.17
1947,07,35.61
1947,08,46.77
1947,09,73.85
1947,10,92.61
1947,11,73.17
1947,12,91.01
1948,01,105.35
1948,02,43.61
1948,03,15.04
1948,04,78.36
1948,05,87.17
1948,06,67.76
1948,07,60.72
1948,08,60.03
1948,09,66.43
1948,10,116.24
1948,11,50.32
1948,12,51.19
1949,01,61.44
1949,02,18.94
1949,03,43.66
1949,04,40.83
1949,05,90.95
1949,06,44.22
1949,07,36.17
1949,08,35.63
1949,09,53.41
1949,10,90.01
1949,11,173.34
1949,12,55.8
1950,01,68.91
1950,02,64.71
1950,03,36.35
1950,04,96.62
1950,05,33.06
1950,06,34.87
1950,07,23.83
1950,08,47.01
1950,09,70.13
1950,10,75.87
1950,11,105.14
1950,12,124.06
1951,01,103.72
1951,02,106.82
1951,03,86.86
1951,04,41.07
1951,05,75.98
1951,06,46.97
1951,07,54.26
1951,08,48.4
1951,09,98.52
1951,10,102.17
1951,11,129.84
1951,12,50.36
1952,01,59.68
1952,02,45.32
1952,03,32.12
1952,04,47.57
1952,05,52.16
1952,06,29.43
1952,07,54.67
1952,08,50.98
1952,09,82.12
1952,10,94.47
1952,11,87.45
1952,12,95.9
1953,01,56.51
1953,02,42.37
1953,03,14.8
1953,04,66.21
1953,05,69.84
1953,06,95.55
1953,07,55.68
1953,08,64.05
1953,09,73.75
1953,10,146.11
1953,11,40.99
1953,12,55.29
1954,01,73.01
1954,02,69.26
1954,03,75.99
1954,04,68.78
1954,05,98.5
1954,06,63.61
1954,07,52.5
1954,08,62.15
1954,09,43.06
1954,10,60.17
1954,11,84.23
1954,12,71.83
1955,01,72.86
1955,02,95.37
1955,03,65.22
1955,04,27.3
1955,05,39.52
1955,06,52.18
1955,07,64.93
1955,08,67.02
1955,09,104.32
1955,10,83.7
1955,11,74.19
1955,12,65.55
1956,01,63
1956,02,67.42
1956,03,77.92
1956,04,97.19
1956,05,50.85
1956,06,73.75
1956,07,46.51
1956,08,34.02
1956,09,60.09
1956,10,75.61
1956,11,114.18
1956,12,41.67
1957,01,69.75
1957,02,60.89
1957,03,27.34
1957,04,78.62
1957,05,90.41
1957,06,67.46
1957,07,58.24
1957,08,50.58
1957,09,39.87
1957,10,88.1
1957,11,115.77
1957,12,87.23
1958,01,51.18
1958,02,49.12
1958,03,67.15
1958,04,106.66
1958,05,37.51
1958,06,68.79
1958,07,41.77
1958,08,36.24
1958,09,45.93
1958,10,92.98
1958,11,137.8
1958,12,112.6
1959,01,48.86
1959,02,23.37
1959,03,77.01
1959,04,86.69
1959,05,85.04
1959,06,67.35
1959,07,36.14
1959,08,70.33
1959,09,68.43
1959,10,93.47
1959,11,128.95
1959,12,144.17
1960,01,72.11
1960,02,82.94
1960,03,103.91
1960,04,55.63
1960,05,42.42
1960,06,57.67
1960,07,67.79
1960,08,48.37
1960,09,121.76
1960,10,151.16
1960,11,107.42
1960,12,131.62
1961,01,92.54
1961,02,29.87
1961,03,18.9
1961,04,85.45
1961,05,58.12
1961,06,58.26
1961,07,48.16
1961,08,19.98
1961,09,24.27
1961,10,125.86
1961,11,132.04
1961,12,63.37
1962,01,56.07
1962,02,52.72
1962,03,86.56
1962,04,62.2
1962,05,63.19
1962,06,42.2
1962,07,29.34
1962,08,15.16
1962,09,47.98
1962,10,80.95
1962,11,165.29
1962,12,70.07
1963,01,80.43
1963,02,85.08
1963,03,58.57
1963,04,68.29
1963,05,70.65
1963,06,77.56
1963,07,53.95
1963,08,77.8
1963,09,91.95
1963,10,81.25
1963,11,109.51
1963,12,87.98
1964,01,23.96
1964,02,53.01
1964,03,106.67
1964,04,59.56
1964,05,50.12
1964,06,62.25
1964,07,43.01
1964,08,61.52
1964,09,40.63
1964,10,169.96
1964,11,67.72
1964,12,131.75
1965,01,82.34
1965,02,37.29
1965,03,66.49
1965,04,62.34
1965,05,61.41
1965,06,53.74
1965,07,42.1
1965,08,77.51
1965,09,134.19
1965,10,34.45
1965,11,109.59
1965,12,61.13
1966,01,71.29
1966,02,66.64
1966,03,41.54
1966,04,71.96
1966,05,65.91
1966,06,39.74
1966,07,68.34
1966,08,79.3
1966,09,58.77
1966,10,156.51
1966,11,155.08
1966,12,72.23
1967,01,41.35
1967,02,55.88
1967,03,39.53
1967,04,63.84
1967,05,53.15
1967,06,61.41
1967,07,36.95
1967,08,51.3
1967,09,78.65
1967,10,34.01
1967,11,102.79
1967,12,79.42
1968,01,58.51
1968,02,93.26
1968,03,25.73
1968,04,45.36
1968,05,70.72
1968,06,82.29
1968,07,41.09
1968,08,89.96
1968,09,67.9
1968,10,36.68
1968,11,125.34
1968,12,100.78
1969,01,64.62
1969,02,93.75
1969,03,77.35
1969,04,54.17
1969,05,57.66
1969,06,61.79
1969,07,45.92
1969,08,68.69
1969,09,90.4
1969,10,25.35
1969,11,93.26
1969,12,97.63
1970,01,89.31
1970,02,54.39
1970,03,75.94
1970,04,49.17
1970,05,53.44
1970,06,46.87
1970,07,33.15
1970,08,64.19
1970,09,38.24
1970,10,59.49
1970,11,73.09
1970,12,88.64
1971,01,82.31
1971,02,50.7
1971,03,79.22
1971,04,55.57
1971,05,74.87
1971,06,58.69
1971,07,30.68
1971,08,33.2
1971,09,61.13
1971,10,39.83
1971,11,131.07
1971,12,45.74
1972,01,110.62
1972,02,114.52
1972,03,58.37
1972,04,93.33
1972,05,69.92
1972,06,55.75
1972,07,64.82
1972,08,54.39
1972,09,95.13
1972,10,77
1972,11,52.34
1972,12,84.74
1973,01,98.28
1973,02,63.9
1973,03,50.64
1973,04,57.83
1973,05,24.43
1973,06,68.77
1973,07,55.65
1973,08,54.71
1973,09,104.13
1973,10,73.61
1973,11,36.9
1973,12,73.02
1974,01,50.19
1974,02,100.38
1974,03,62.34
1974,04,107.39
1974,05,56.52
1974,06,50.25
1974,07,27.84
1974,08,52.36
