Year,Month,TAS,TSMAX,TSMIN
1950,1,2.55,5.97,-0.47
1950,2,5.44,9.51,1.68
1950,3,7.69,12.09,3.6
1950,4,9.83,13.74,5.92
1950,5,15.58,20.14,10.7
1950,6,20.59,25.43,15.38
1950,7,24.33,29.34,19.04
1950,8,22.6,27.47,17.79
1950,9,18.28,22.85,13.91
1950,10,13.4,17.52,9.76
1950,11,8.32,11.98,4.82
1950,12,4.04,6.95,1.28
1951,1,4.37,7.55,1.55
1951,2,5.46,8.8,2.31
1951,3,6.37,9.96,2.82
1951,4,10.15,14.31,5.98
1951,5,13.77,17.7,9.85
1951,6,18.55,22.92,13.88
1951,7,21.04,25.44,16.4
1951,8,21.65,26.37,17.05
1951,9,18.74,22.63,15.21
1951,10,11.9,15.16,8.93
1951,11,9.51,12.88,6.34
1951,12,4.89,8.49,1.72
1952,1,2.76,6.06,-0.39
1952,2,2.94,6.85,-0.64
1952,3,7.19,11.23,3.21
1952,4,12.22,16.38,8.17
1952,5,15.05,19.25,10.75
1952,6,20.72,25.27,15.97
1952,7,23.47,28.14,18.82
1952,8,22.76,27.49,18.08
1952,9,17.61,21.62,13.79
1952,10,13.08,16.73,9.46
1952,11,7.21,10.57,4.06
1952,12,4.64,7.4,1.97
1953,1,1.38,4.82,-1.61
1953,2,3.3,7.39,-0.53
1953,3,6.59,11.44,1.84
1953,4,11.63,15.67,7.57
1953,5,15.33,19.52,11.02
1953,6,17.63,21.45,13.64
1953,7,21.91,26.46,17.2
1953,8,20.87,25.18,16.62
1953,9,19,23.32,14.96
1953,10,14.67,17.92,11.84
1953,11,7.96,11.77,4.71
1953,12,6.72,9.57,4.15
1954,1,0.9,4.17,-2.33
1954,2,2.46,5.3,-0.41
1954,3,8.2,11.78,4.66
1954,4,9.64,13.52,5.87
1954,5,13.54,17.26,9.75
1954,6,19.31,23.39,15.08
1954,7,19.86,24.07,15.42
1954,8,19.9,24.29,15.47
1954,9,18.83,23.42,14.51
1954,10,12.84,17.11,8.91
1954,11,8.4,11.65,5.37
