Entity,Code,Year,Annual CO₂ emissions including land-use change,Annual CO₂ emissions from land-use change,Annual CO₂ emissions
World,OWID_WRL,1950,12137298000,6207054000,5930243600
World,OWID_WRL,1951,12941234000,6559805400,6381428700
World,OWID_WRL,1952,12945541000,6478080500,6467460600
World,OWID_WRL,1953,13239966000,6589081000,6650885000
World,OWID_WRL,1954,13769990000,6980460500,6789529000
World,OWID_WRL,1955,14567124000,7123228000,7443896000
World,OWID_WRL,1956,15145513000,7219499500,7926013000
World,OWID_WRL,1957,15509211000,7323566600,8185645000
World,OWID_WRL,1958,15608502000,7191314400,8417187300
World,OWID_WRL,1959,16598380000,7743689700,8854690000
World,OWID_WRL,1960,16093020000,6706008600,9387011000
World,OWID_WRL,1961,16235569000,6820527000,9415042000
World,OWID_WRL,1962,16077983000,6330695700,9747287000
World,OWID_WRL,1963,16428055000,6161282000,10266772000
World,OWID_WRL,1964,16683293000,5858828000,10824465000
World,OWID_WRL,1965,16935702000,5625101300,11310600000
World,OWID_WRL,1966,17085477000,5222830000,11862647000
World,OWID_WRL,1967,17638224000,5400855000,12237369000
World,OWID_WRL,1968,18237686000,5332402700,12905284000
World,OWID_WRL,1969,19597758000,5835973600,13761785000
World,OWID_WRL,1970,20593228000,5694103000,14899124000
World,OWID_WRL,1971,20621949000,5118095000,15503855000
World,OWID_WRL,1972,21615157000,5390559000,16224597000
World,OWID_WRL,1973,22329176000,5244081700,17085094000
World,OWID_WRL,1974,22149474000,5138403000,17011072000
World,OWID_WRL,1975,22112086000,5059333600,17052752000
World,OWID_WRL,1976,23073288000,5084175400,17989112000
World,OWID_WRL,1977,24012407000,5513770500,18498636000
World,OWID_WRL,1978,24482347000,5413056000,19069290000
World,OWID_WRL,1979,24295772000,4686750700,19609020000
World,OWID_WRL,1980,24456057000,4967532000,19488524000
World,OWID_WRL,1981,23852843000,4829939700,19022903000
World,OWID_WRL,1982,23414796000,4543699000,18871097000
World,OWID_WRL,1983,23776866000,4784955000,18991910000
World,OWID_WRL,1984,25286881000,5639079000,19647801000
World,OWID_WRL,1985,25602865000,5290962400,20311902000
World,OWID_WRL,1986,26142145000,5527181000,20614963000
World,OWID_WRL,1987,26589878000,5339803600,21250075000
World,OWID_WRL,1988,27256115000,5170985000,22085130000
World,OWID_WRL,1989,27339980000,4953343000,22386637000
World,OWID_WRL,1990,27705590000,4976600600,22728989000
World,OWID_WRL,1991,28156088000,4969986600,23186102000
World,OWID_WRL,1992,27786177000,5258005000,22528172000
World,OWID_WRL,1993,27729648000,4973861400,22755787000
World,OWID_WRL,1994,28882323000,5889376000,22992947000
World,OWID_WRL,1995,28964485000,5432402400,23532083000
World,OWID_WRL,1996,30270710000,6012541400,24258169000
World,OWID_WRL,1997,31808471000,7406565000,24401906000
World,OWID_WRL,1998,30448243000,6144464000,24303778000
World,OWID_WRL,1999,30856643000,6002914300,24853730000
World,OWID_WRL,2000,30807773000,5297219000,25510554000
World,OWID_WRL,2001,30471537000,4765243000,25706293000
World,OWID_WRL,2002,31404986000,5128116000,26276870000
World,OWID_WRL,2003,33745170000,6075682000,27669490000
World,OWID_WRL,2004,34036494000,5403988000,28632506000
World,OWID_WRL,2005,34505376000,4890982000,29614395000
World,OWID_WRL,2006,35960540000,5332145700,30628397000
World,OWID_WRL,2007,36129227000,4594583000,31534645000
World,OWID_WRL,2008,36954510000,4880310300,32074200000
World,OWID_WRL,2009,36815900000,5273980000,31541922000
World,OWID_WRL,2010,38843814000,5487911400,33355903000
World,OWID_WRL,2011,39782806000,5278267000,34504540000
World,OWID_WRL,2012,40651915000,5651894000,35000020000
World,OWID_WRL,2013,40417810000,5116153300,35301655000
World,OWID_WRL,2014,40846287000,5396192000,35450094000
World,OWID_WRL,2015,40936485000,5531586600,35404900000
World,OWID_WRL,2016,39822910000,4406253000,35416658000
World,OWID_WRL,2017,40220918000,4231022300,35989897000
World,OWID_WRL,2018,40575144000,3844717600,36730425000
World,OWID_WRL,2019,40891020000,3786743800,37104275000
World,OWID_WRL,2020,38565520000,3438993700,35126526000
World,OWID_WRL,2021,40544514000,3552779300,36991734000
World,OWID_WRL,2022,40834870000,3541036300,37293834000
World,OWID_WRL,2023,41416480000,3624905200,37791570000
