Year,Month,consecutive_dry_day
1950,01,11.81
1950,02,8.31
1950,03,13.24
1950,04,7.97
1950,05,13.26
1950,06,16.3
1950,07,20.54
1950,08,17.54
1950,09,14.42
1950,10,18.84
1950,11,7.34
1950,12,5.8
1951,01,8.33
1951,02,5.69
1951,03,7.1
1951,04,8.23
1951,05,9.89
1951,06,15.48
1951,07,13.47
1951,08,16.64
1951,09,9.87
1951,10,10.04
1951,11,6.9
1951,12,15.47
1952,01,7.04
1952,02,12.19
1952,03,16.57
1952,04,13.65
1952,05,10.24
1952,06,16.41
1952,07,18.44
1952,08,18.22
1952,09,14.07
1952,10,7.93
1952,11,8.1
1952,12,7.79
1953,01,13.6
1953,02,12.85
1953,03,18.55
1953,04,17.91
1953,05,8.25
1953,06,8.7
1953,07,17.56
1953,08,15.96
1953,09,13.8
1953,10,6.85
1953,11,21.32
1953,12,21.47
1954,01,8.45
1954,02,7.38
1954,03,7.3
1954,04,9.72
1954,05,7.44
1954,06,9.95
1954,07,14
1954,08,19.05
1954,09,15.77
1954,10,14.47
1954,11,10.65
1954,12,12.99
1955,01,7.41
1955,02,5.54
1955,03,7.71
1955,04,11.29
1955,05,16.35
1955,06,13.38
1955,07,11.53
1955,08,13.36
1955,09,10.06
1955,10,7.23
1955,11,9.02
1955,12,9.1
1956,01,7.58
1956,02,5.43
1956,03,9.46
1956,04,9.33
1956,05,10.7
1956,06,10.15
1956,07,16.28
1956,08,20.3
1956,09,22.8
1956,10,14.88
1956,11,8.51
1956,12,18.52
1957,01,9.68
1957,02,14.26
1957,03,14.62
1957,04,9.68
1957,05,5.61
1957,06,12.04
1957,07,19.22
1957,08,16.14
1957,09,12.31
1957,10,11.62
1957,11,9.88
1957,12,11.88
1958,01,8.16
1958,02,16.5
1958,03,6.32
1958,04,4.75
1958,05,14.92
1958,06,16.4
1958,07,14.94
1958,08,18.83
1958,09,13.81
1958,10,12.35
1958,11,6.52
1958,12,9.16
1959,01,8.72
1959,02,19.97
1959,03,22.53
1959,04,7.57
1959,05,7.17
1959,06,9.09
1959,07,15.39
1959,08,14.26
1959,09,10.86
1959,10,10.82
1959,11,6.87
1959,12,5.33
1960,01,7.71
1960,02,7.3
1960,03,7.62
1960,04,7.81
1960,05,13.16
1960,06,12
1960,07,13.01
1960,08,18.19
1960,09,17.14
1960,10,5.72
1960,11,6.89
1960,12,7.07
1961,01,7.16
1961,02,14.68
1961,03,18
1961,04,13.29
1961,05,9.62
1961,06,10.75
1961,07,14.04
1961,08,17.42
1961,09,21.33
1961,10,11.02
1961,11,8.02
1961,12,8.84
1962,01,8.9
1962,02,9.82
1962,03,7.12
1962,04,9.37
1962,05,11.91
1962,06,12.77
1962,07,14.26
1962,08,19.9
1962,09,17.76
1962,10,10.22
1962,11,4.23
1962,12,9.57
1963,01,7.64
1963,02,6.48
1963,03,12.7
1963,04,6.97
1963,05,7.28
1963,06,10.81
1963,07,15.71
1963,08,12.13
1963,09,8.67
1963,10,15.12
1963,11,9.39
1963,12,6.94
1964,01,16.79
1964,02,14.71
1964,03,4.48
1964,04,7.72
1964,05,11.26
1964,06,10.4
1964,07,11.58
1964,08,11.49
1964,09,13.19
1964,10,7.07
1964,11,13.92
1964,12,10.27
1965,01,6.49
1965,02,9.91
1965,03,8.13
1965,04,9.62
1965,05,12.45
1965,06,14.28
1965,07,17.94
1965,08,16.67
1965,09,7.34
1965,10,15.29
1965,11,14.02
1965,12,8.43
1966,01,7.03
