data,day
1950-01,0.04
1950-02,0.03
1950-03,0
1950-04,0.05
1950-05,0.03
1950-06,0
1950-07,0
1950-08,0.01
1950-09,0.02
1950-10,0.02
1950-11,0.03
1950-12,0
1951-01,0.07
1951-02,0.19
1951-03,0.06
1951-04,0
1951-05,0.02
1951-06,0.07
1951-07,0.05
1951-08,0.02
1951-09,0.06
1951-10,0.47
1951-11,0.51
1951-12,0.01
1952-01,0
1952-02,0
1952-03,0
1952-04,0.03
1952-05,0.01
1952-06,0.01
1952-07,0.02
1952-08,0.09
1952-09,0.1
1952-10,0.1
1952-11,0.1
1952-12,0.04
1953-01,0
1953-02,0.03
1953-03,0.03
1953-04,0.08
1953-05,0.01
1953-06,0.18
1953-07,0
1953-08,0.08
1953-09,0.07
1953-10,0.27
1953-11,0.02
1953-12,0
1954-01,0.01
1954-02,0.04
1954-03,0.01
1954-04,0.01
1954-05,0.03
1954-06,0.03
1954-07,0.02
1954-08,0.09
1954-09,0.01
1954-10,0.05
1954-11,0.08
1954-12,0.15
1955-01,0.02
1955-02,0.02
1955-03,0.01
1955-04,0
1955-05,0.01
1955-06,0.03
1955-07,0.03
1955-08,0.01
1955-09,0.15
1955-10,0.12
1955-11,0.11
1955-12,0.01
1956-01,0
1956-02,0.01
1956-03,0.08
1956-04,0.05
1956-05,0.02
1956-06,0.01
1956-07,0.02
1956-08,0.03
1956-09,0.17
1956-10,0.04
1956-11,0.01
1956-12,0.01
1957-01,0.04
1957-02,0
1957-03,0.01
1957-04,0
1957-05,0.01
1957-06,0.07
1957-07,0.07
1957-08,0.04
1957-09,0.01
1957-10,0.15
1957-11,0.32
1957-12,0.17
1958-01,0.03
1958-02,0.03
1958-03,0
1958-04,0
1958-05,0.02
1958-06,0.04
1958-07,0.01
1958-08,0.04
1958-09,0.04
1958-10,0.1
1958-11,0.21
1958-12,0.12
1959-01,0
1959-02,0
1959-03,0.01
1959-04,0.17
1959-05,0.05
1959-06,0.04
1959-07,0.01
1959-08,0.01
1959-09,0.07
1959-10,0.48
1959-11,0.23
1959-12,0.12
1960-01,0
1960-02,0.02
1960-03,0.02
1960-04,0.04
1960-05,0.01
1960-06,0.03
1960-07,0.04
1960-08,0.01
1960-09,0.37
1960-10,0.12
1960-11,0.07
1960-12,0.12
1961-01,0.09
1961-02,0
1961-03,0
1961-04,0.04
1961-05,0.03
1961-06,0.02
1961-07,0.04
1961-08,0.01
1961-09,0.02
1961-10,0.25
1961-11,0.29
1961-12,0.04
1962-01,0
1962-02,0
1962-03,0.05
1962-04,0.1
1962-05,0.06
1962-06,0.03
1962-07,0.01
1962-08,0.01
1962-09,0.01
1962-10,0.06
1962-11,0.26
1962-12,0.01
1963-01,0
1963-02,0.03
1963-03,0.01
1963-04,0.13
1963-05,0.04
1963-06,0.02
1963-07,0.02
1963-08,0.07
1963-09,0.1
1963-10,0.15
1963-11,0.2
1963-12,0.06
1964-01,0.01
1964-02,0
1964-03,0
1964-04,0.09
1964-05,0.04
1964-06,0.03
1964-07,0.01
1964-08,0.02
1964-09,0.02
1964-10,0.53
1964-11,0.03
1964-12,0.06
1965-01,0
1965-02,0
1965-03,0.03
1965-04,0
1965-05,0.08
1965-06,0
1965-07,0.04
1965-08,0.26
1965-09,0.68
1965-10,0.05
1965-11,0.01
1965-12,0
1966-01,0.03
1966-02,0.11
1966-03,0
1966-04,0.01
1966-05,0.06
1966-06,0.01
1966-07,0.05
1966-08,0.32
1966-09,0.09
1966-10,0.3
1966-11,0.45
1966-12,0.05
1967-01,0
1967-02,0.07
1967-03,0
1967-04,0.08
1967-05,0.02
1967-06,0.04
1967-07,0.01
1967-08,0.08
1967-09,0.13
1967-10,0.02
1967-11,0.12
1967-12,0.06
1968-01,0
1968-02,0.04
1968-03,0
1968-04,0.01
1968-05,0.07
1968-06,0.03
1968-07,0.02
1968-08,0.13
1968-09,0.1
1968-10,0.05
1968-11,0.41
1968-12,0.1
1969-01,0.05
1969-02,0.02
1969-03,0
1969-04,0.03
1969-05,0.04
1969-06,0.06
1969-07,0.03
1969-08,0.02
1969-09,0.08
1969-10,0.01
1969-11,0.11
1969-12,0.05
1970-01,0.03
1970-02,0
1970-03,0
1970-04,0
1970-05,0
